comment,like
千亿人血书，底下人发起支持，俺有钱打榜,25686
最后狮姐回头的那一段，是不是也表明了狮兄是她的梦中情狮呢，不然无缘无故的站定脚步回头干嘛,15289
只能说这个可以给狮哥配一对儿吗？[大哭],13785
一切不在言中，而在眼内。,12287
真想创造一个所有人都能得到幸福的世界,5662
既然是漫画，那不妨画的大胆一点吧，我不希望连在这里都是充满遗憾的,3298
救命[大哭][大哭],2935
秒5既视感,2811
狮兄，家里不是小卖部是中型超市的算吗[脱单doge],1524
狮子最后一个遇到的才是在公交车上看见的那个啊，下一期我就要看见他俩在一块[doge],1291
哥们叫雷锋！,1045
好漂亮呀，以后还会有戏份吗[初音未来_大笑],522
"这一幕，是错过，是借过。
错过是梦中所念，心中所爱
借过是抱歉，虽没联系，但还是借过一下，因为我挡着你的人生了",455
我是亲眼看着一首歌是如何被一个视频给带飞的，视频一经发布，这首歌的播放量就一飞冲天了[笑哭],371
哥，每期视频三连换狮兄幸福不过分吧[笑],301
                       至此已成艺术,244
简单一弄，大家自取。,119
有大佬画出来同人了[保卫萝卜_笔芯]（抖音弓长千）,86
野哥，你要是真不想给狮兄配妹子，实在不行把狮兄变女的配给鸡哥也行阿[笑哭],44
已经有人画出来了[笑哭],39
"普通人会有无数次幻想被打破的时候。
当你真正喜欢上狮哥，希望他获得幸福的时候，
又何尝不是将自己的期望强加在他身上了呢?",7
下一章，狮子想去小卖铺水，结果领导要求紧急会议，完事以后，同事有急事，送了瓶水，让过来顶一会儿，最后鸡哥请吃饭，直到晚上他又路过了小卖铺，想起吃饭的时候喝了不少……还是不买了，便直径走过店面，又走了几步，想起来还是给明天准备一瓶吧，接着走进了这家不起眼的小卖铺，看见一美丽的眼睛……,4
