comment,like
白衣的荣耀！羊村的骄傲！！,38191
第一个嘉宾npc诞生了好诶！[难过],20429
"一个被粉丝弄走了
一个刚来就没了
一个好不容易走了又被摇回来了[笑哭]",17514
那天我瘦了三斤！,11293
这期拍的不错，表扬下老板小潮院长哈。（开玩笑的）,10762
身份证是不丢羊村了！！！,8404
《开局不到十五分钟，咱奶就成功逃离了羊村》[喜极而泣],7023
等等，那如果马哥第四期走了，他是不是可以把高斯叫回来[思考],6738
"本期成就：
小精灵：2023羊村天使投资人
                首位NPC嘉宾
                 羊村最懵嘉宾
高斯：白衣战队的神
            运气之王
小潮院长：超过自己有史以来的记录，离开羊村
小傲：高中组之默契
小砍：以一敌五
海皇：无
如有遗漏请补充[脱单doge][脱单doge]",6178
考研一定上岸兄弟们[打call],4825
照这个趋势下去，过年可有的看了[脱单doge],2882
《一念神魔》,2699
我做的雪玫瑰送给小狗[脱单doge],2228
"这一季羊材目前创造的历史：
1.高斯首次离开羊村
2.玩家首次不是依靠赢得游戏离开的羊村
3.玩家首次被迫离开羊村
4.首次一天有两位玩家离开羊村
5.嘉宾首次失败留在羊村
6.嘉宾首次第一天就失去所有的星
7.首次玩家离开之后以嘉宾的身份回来重新游戏(暂且存疑)",1844
欢迎小精灵！！羊村因你的加入而更美好！许愿一个雀巢工作室，真的好期待两大工作室对撞能擦出怎么样的火花[doge],1428
"天哪，一个小时，这是什么,难怪要审核这么久,小潮提姆你是我的神！[星星眼][星星眼][星星眼][打call][打call][打call]",1213
不知道你们还记不记得第二季最后马哥说：输了的人并不是留在羊村，但是在第三季的时候会比较惨，但我也没看到惨在哪呀[喜极而泣],1047
观后感:小老师在短暂的一天，竟收获了数不胜数人山人海奇奇怪怪的一堆称呼[吃瓜],1033
我早就能走了 跟这帮人闹着玩呢 降维打击你们懂吗兄弟们 ！[doge],934
超级无敌寻龙尺plus版,803
出镜十分钟还有联投：高斯大胜利[脱单doge],558
这种直接走的留言还是不太用放进箱子里，其实我觉得没啥效果，其实像那种有特定任务的更有节目效果,517
现在长视频环境越来越差，羊村却没有比往季短，反而让我第一次看到马哥一个小时的视频，真的很用心[给心心][给心心][给心心],479
正想说马哥走了播放量得少一大截，结果看到最后哈哈哈哈哈🤣🤣🤣,439
说句公道话，我都不知道名字叫什么[doge],254
what’s up这么远,80
预言家但只预言对了一半[微笑][微笑][微笑],72
您！！！,65
哇哇哇！！！做小饼干！！有潮逼流子的视频陪伴！！！真好啊！！！！呜呜呜,45
我天今天生日一打开就看到这个  好爽好爽😭🤲🏻,42
高斯，立刻马上回到羊村并且获得一颗星[脱单doge],33
预言家[脱单doge],20
我发布了一篇笔记，快来看看吧~,4
哇啊啊啊啊啊惊喜惊喜[脱单doge][脱单doge],2
