comment,like
哥 你们跨年能不能出个线下团建视频[大哭][大哭],8612
啊啊啊啊啊啊是团建的实况系列，爱看多发[脱单doge][打call],6358
老师，我家番茄怎么叫的这么大声啊，还以为是性格开朗了，仔细一看是疯了[OK],5800
明显看的出来拜应该是玩过的 还有加的miyang整合包 有单独的手电和对讲机模块 但是mod对于新手不太友好 刷怪太多 难度太高了 其实可以只加一个汉化和联机的 感觉像是boy在用的mod给别人安排上了 现在这感觉都没去几个地方 如果要出续集的话 可以多玩玩提高熟练度 不然就换个纯净mod吧 体验会更好（仅代表个人观点 本人致命公司20h玩家 ）,4491
我二十八分钟笑得跟花少北最后那段一样癫哈哈哈哈哈哈,3872
"说明一下，他们玩的这么艰难是因为加的mod太魔幻了，纯净版一般下午1点左右开始刷室内怪，而且只有一两只，不是他们那种开局群魔乱舞，我怀疑是刷怪mod的问题，虽说房主要和玩家一起下同样的mod但有种刷怪mod只能房主一个人添加，不然有多少人下就有多少倍的怪。
最后boy捡了个奇怪的铁板也是mod物品，带前缀“奇怪的”捡了会随机给debuff，但是有bug，boy本来该减速15%，但mod作者写成减速至15%了，所以走的贼慢。",3610
"平时的番茄：温文尔雅，风度翩翩
这个视频的番茄：（字正腔圆）握草！握草！握草！！！
非常不错游戏",3071
怎么？[doge]没联系上北子哥？,2658
茄哥你怎么了茄哥,1468
老师怎么没看家我家小花,1320
北子哥怎么没联合投稿？[doge],1318
花少北的联投呢[笑哭],1284
为什么四个人的视频感觉有一群人[思考],1164
哇哇哇等到你们的了！,1119
哥几个能不能出个线下视频啊都年底了发个线下团建喜庆一下,1063
终于……不是元梦之星了！[大哭],1013
花少北：我被抛弃了 观众朋友们,669
这期好好笑，跟着北子那段大笑笑崩了,646
这样，你们录个两小时，我留着当春晚看,533
又有人忘记点联合投稿了,446
加了难度mood吧，正常玩很少开门进去就好几个怪刷脸上的，对新人忒不友好[笑哭]（希望哥几个熟了这个游戏多更几期！这个真心节目效果爆炸）,429
老师我们小花好像没在里面，我们家孩子回来之后一直在哭，问了才知道是觉得老师不重视他，希望老师能够妥善解决这件事情。,421
王哥假装第一次玩委屈他了，男人帮，启动,362
是致命公司！！！自从这个游戏上线就一直期待上海zoo玩了！好喜欢他们玩这种联机恐怖游戏[大哭][大哭][大哭],166
没人夸夸剪辑吗！太厉害了，学过一些剧本创作和剪辑，这个视频节奏bgm切镜头剧情逻辑镜头语言过渡闪回（喘气）都极其流畅，可以说半个小时没有一秒是多余的[鼓掌],146
这个视频开始中国boy先说话我想大点声，还没来得及调音花少北就说话了，还好动作慢,142
你们仨拍了多少视频？[星星眼],136
boy真的好喜欢当小领导[大笑],133
北子醒了哈哈哈哈哈哈哈,129
呜呜，都没人陪哥们玩,125
就是说，你们四个能不能一起去密室录个视频，我真的很想看[大哭],116
"wc 新视频不火天理难容！
卧槽，致命公司这个团建视频也太好看了吧，我个人认为啊是所有团建视频里第二好看的一期！！！（第一是火柴人）
 
新视频全程笑疯了，我的妈太有意思了，火速三连，真的求多出几期！太tmd好看了！最近期末，好久都没有笑的这么开心了，好喜欢你们玩这个游戏真的绝了，这个视频不火真的是天理难容！",113
这加的物品难度低了好多,90
老师我们家子涵特别爱看，希望下周还有,88
这期没有字幕嘛,85
出乎我意料的好看！下一季！！！！！！！！！等续集！！！！！！！！别逼我求你！！！！！！！,71
我说怎么boy头上那个好眼熟（）,56
而且怪物的ai是有配合意识的，在未进入攻击状态的囤积虫会捡起战利品并且放在高危险的怪物旁边,55
四个人吵出了一群人的声音，头回用人声鼎沸形容四个人[doge],53
这个游戏是不是会检测玩家音量大小。。？看弹幕说有的怪听觉灵敏,50
开坑开坑，不过怎么感觉今天中国boi的状态不是很好哎？怎么啦？,48
哥几个的视频真的是续命之作……😿,48
哥几个圣诞节有说法吗[脱单doge][脱单doge][脱单doge],47
看了好多UP主录致命公司的实况，还是你们四个最有节目效果[笑哭][笑哭][笑哭],42
这期质量好高，真的巨好笑，某幻真是长在我笑点上了,38
北子：联合投稿不联系我是吧,37
刚打完怪猎出来看视频，开头还以为自己游戏没关，搁这找了半天又没找到。直到我把视频暂停了[捂脸],31
春晚我要看这个！！！！！！,24
受不了，一看时长接近半小时惊喜万分，结果特么感觉没看一会就没了,24
北子哥跳楼那一声短笑和后面看boy的狂笑差点给我笑断气,24
