comment,like
我想进房子里脱光衣服然后cosplay无垢巨人[喜欢][喜欢],2
不太建议造巨型房子，因为要按质量跟占地面积打造的话支出太高了，再说了后期的维护跟使用嘛……,2
这么小，不怕蹲个马桶都怕滋外面？[妙啊][妙啊][妙啊],2
大家伙也别抱着玩笑的心看视频了 巨人症通常活不久 并且导致身体免疫力下降 也就是说一点小流感都可能让他们痛不欲生 反正我笑不出来,2
请问以后会开放预约参观吗？我真的很想来看一看，实在是太有趣了。[星星眼][星星眼][星星眼],2
危险 太大了掉进去，玩过Cs的有章厨房的地图，你们记得么？,2
你的电脑芯片制程也缩小了三点六倍么？！,2
我倒是想过很多异形的房子，比如房间30度角倾斜，各种隐藏门引向各种房间，楼梯一边是2层一边是3层，某个房间要跳横梁桥才能过去（门在墙上，摔下去会摔到海绵池里，也可以在门下面做成攀缘梯，海绵池改室内游泳池），通往一个房间的门由滑梯代替,2
难绷，弹幕里有懂哥说这是缩放镜头，看来义务教育果然还没完全普及[doge],2
感觉女儿不适合再在里面了，一直弯着腰对身体发育不好,2
好压抑，我连看视频都感到胸口发闷[笑哭],2
"电脑是怎么做到这么小的[tv_疑问]
自己整主板显示器？",2
古墓也是这样的,2
他为什么可以自己盖房子？不都是应该贷款买吗,2
怎么做到的，那些电器都是定做的吗，还有小电梯，卧槽，我也想要个复刻版,2
一屋子无垢巨人是吧[doge],2
掉坑里的时候跟我说一声，百家饭给你准备。[喜极而泣],2
幽闭恐惧症的人表示看不了这个[辣眼睛],2
我靠，就算我趴着也进不去[脱单doge],2
道理我都懂，但是这个猫为什么这么大,2
一开始真以为是特效来着……是我肤浅了,2
[脱单doge]你太厉害了，巨房做完了再做个超迷你小房子怎么样，类似核舟记,2
这个可以卖给极少数人，希望真的有一天能做成公益提倡[委屈][委屈][委屈],2
放大的话，支出不少啊估计，但是如果只做一个房间的话。,2
我想看看外面看这个房子长什么样,2
道理我都懂，为什么小朋友这么大呢？[思考],2
道理我都懂。但是这个猫为什么这么大啊！,2
别太大，能让姚明像普通人一样就好，做好了卖给他,2
做那么高，真怕你上厕所掉里面出不来,2
[妙啊]别被骗了，其实这是指环王续作。,2
你有钱随便你做,2
感觉巨型的还是有点安全隐患的，特别是有水的容器之类的,2
我记得头几年有个新闻，说的就是某楼盘的比例做错了，好多业主直接拍他们房子做起自媒体了,2
博人眼球，赚钱，接广，带货，一年几百万收入，问谁谁不做？,2
我前面一直以为是特效，竟然是真的！,2
能报建吗,1
不是 没参照物 直接把我空间认知干碎了,1
缩小XX倍，典型语病,1
压迫感太强,1
我与阁下无冤无仇,1
那个马桶，你上一次厕所应该就直接堵住了吧[妙啊][妙啊][妙啊],1
"个人感觉，小孩子都会长大的，探索过小人国，那再去探索一下巨人国。有差异，有对比，有惊艳。对于孩子来说跟做梦一样。想想啊，坐上沙发都得爬上去，沙发坐垫中间都可以躲起来，自己不就是娃娃视角了吗？很神奇啊！这又让我相起双人成行里面，我们游戏的视角。
不过难免的，要考虑资金问题，巨大的房子，全套家具设施肯定会更贵。但是up主要是能接到家具广告那就完美了[脱单doge]，主题就叫 打造梦的世界 。",1
来上海，我给你一千万卖喽[脱单doge],1
你这个不是猫房吧？感觉比例太奇怪了,1
貧窮限制了我的想像,1
感觉这拍照手法显得和真实比例好像,1
但东西能用就离谱,1
巨型的马桶，掉进去就完了，四周又滑根本爬不上来[脱单doge],1
一看都是假的,1
[藏狐]那不得上厕所掉坑里捞都捞不上来,1
up这财力说缩小就缩小，说放大就放大啊[doge],1
这比例。。。,1
"我查了很多相关的案例，总结出一个比较普遍的结论：

【以下均有案例支持，绝非虚构】

女性结婚一年左右提出离婚，根据法律规定，几乎不需要退还任何婚姻馈赠（...",0
别的我不想评论，我只想说好多钱啊[大哭],0
已知up主给出的数据是层高1.4米的求这只猫的高度[doge][doge][doge],0
再做大一点，是不是就可以当房子了？😋,0
我有幽闭恐惧症，我不敢进这房子，心里发毛[笑哭],0
很让人感到温暖的作品 谢谢,0
几年前，能找到的只有21年了。[笑哭]怎么说呢，就像我说的，可能很多男生小时候都幻想过，女生我是不清楚。《怪奇物语》的小木屋，还是地下室里那个帐篷，躲在一起玩地下城。小小的空间，反而充满安全感和乐趣。[笑哭]有这功夫为什么不做？看到一半说有人问为什么做。我tm白眼🙄翻到天灵盖了，《因为老子乐意》不行吗。up要那么多素质干嘛[笑哭][笑哭]真的是，关你屁事。大伙都看得乐乐呵呵的，就是会有一些莫名其妙的，来为什么。我tm[笑哭]。鬼知道，鬼都不知道有多少人需要这种童年，其他我就不说了好吧。我真的，很想喷。[笑哭]老子乐意就完事了。活的真累有些东西。,0
幽闭恐惧症了，看着有点喘不上气[委屈],0
非常好，轮到小人国了[妙啊],0
各位不好奇大哥什么背景吗😧,0
