comment,like
这up没百万我是不认可的[OK],0
开头就够投币了,0
很不错，很不错,0
黑白了而已,0
[滑稽][滑稽],0
这玩意儿可比春晚有意思多了,0
TM的最多只能2个币！2个币怎么能表达我对作品的认可和喜爱呢？,0
这就是默剧的艺术啊，没有台词对话，为了使观众看懂，对人物肢体动作比现代的电影还要极为苛刻，现在的人如果能看到新的默剧是将是相当有意思的事，可惜就像80年代的香港动作片一样。。看不到了。,0
有个。。不知道合不合理的建议，能不能不要。。那么高清[笑哭]，拍的很好，up表演也棒棒的，但是就因为这个清晰度真觉得有点违和感[妙啊],0
斧头帮呃 00:05,0
结尾让警察给砍了哈哈哈哈,0
看完后悔死了，我看完这个，春晚看什么呢[大哭],0
这绝对不是1923年的，忽悠人呢吧，,0
倒着走那段真的绷不住,0
居然有人觉得这真是1923年拍的，真是见识物种的多样性了,0
车牌粤Y ， 佛山南海[微笑],0
是不是帧数有点高?,0
绝了[打call][打call][打call],0
6,0
很精彩，很喜欢，uper加油,0
精彩  三连了,0
剧情有点穿越呀,0
@货实 [doge],0
1,0
哈哈哈哈好好笑,0
答应绝对是现代的,0
一键三连，哈哈哈哈,0
你的沉默震耳欲聋[doge],0
这真的是23年的吗？,0
还是默剧有意思[蛆音娘_OK],0
确实不错,0
牛逼！,0
好看23333,0
[OK][OK][OK],0
最后一下给我笑岔气了,0
重置的真不错啊[星星眼],0
看了这个，我想起了，卓别林,0
好,0
刺客信条枭雄,0
绝了,0
@爱喝奶茶的鼠鼠 @爱吃薯条的黎鲤,0
非常好看[脱单doge],0
[笑哭],0
真好,0
翻拍？,0
哈哈哈哈,0
我感觉胶片的尺寸不对 [嗑瓜子][嗑瓜子][嗑瓜子][doge][doge][doge],0
场景看上去七八十年代的片子，没有百年,0
这就是我对这部片子的评价,0
2:44,0
七八十年代的时候看默剧，真的很经典,0
卧槽，这作品牛逼啊,0
"好怪，再看一遍
好怪，再看一遍 
好怪，再看一遍
好怪，再看一遍
好看，再看一般
好玩，再看一遍
太棒了，再看一遍
真不戳，还有吗？",0
感谢up百忙之中拿以前的剧情敷衍我[打call][打call][打call][打call][打call],0
人民群众喜闻乐见的艺术形式[给心心],0
最后那下就是标准的为了防止他自杀于是警察把他击毙了,0
以后很少看得见这玩意儿了。,0
有种抄袭，啊不对不对致敬的即视感[脸红][脸红][脸红],0
自媒体翻拍的硬说是百年前，现在的S D为了流量啥都能骗,0
好活儿 当赏,0
彩彩彩,0
@账号已注销一-,0
1923年，那是什么国[藏狐],0
很有趣[蛆音娘_OK],0
@JSYZP,0
仿古,0
[笑哭][笑哭][笑哭][笑哭],0
@酒醉花下眠z,0
好厉害哈哈哈哈哈哈哈哈哈，投币支持一下,0
好玩好玩哈哈哈哈,0
好活,0
三连了！,0
太有趣了，哈哈哈哈,0
太厉害了[给心心],0
厉害,0
最后一下笑死,0
