comment,like
“从来不让孩子在谁面前唯唯诺诺的，这个我受不了”谁懂这句话的含金量啊太好哭了吧！！,10491
“我是一个生意人，不做赔本的买卖；但我又是个失败的生意人，因为没有腰缠万贯。”,9965
感谢，这场平等的交换，而不是施舍，是孩子们自己值得。,2146
也致敬所有的乡村支教老师[给心心]我认识的就有一位@林银的黄金,1652
最受不了让接受捐赠的孩子在镜头前尬笑，看着好心酸,974
“不用记着我们是谁，用不着”真的看哭了[大哭],961
"这让我想起金星老师在她的脱口秀讲到的一件事情，说是有个节目组拍摄明星给山区捐赠的故事，捐赠活动大张旗鼓，镜头毫不掩饰的拍下山区的大人和孩子们，但更多情况是山区的人们并不接受这种捐赠。这种充满可怜，以强者姿态向弱势群体的施舍，对他们来讲反而是一种伤害。
up的这种方式，捐赠的不仅是物资，捐赠的更是一份尊重与平等",861
你值得投币[傲娇],362
"向这些为了美好不断奋斗的人致敬。
感谢你们让我看到了这个世界上更多的善良、爱心，以及陌生人之间不求回报的付出。",325
"""我们不希望这是一场捐赠，因为他们从来都和别的孩子一样""",290
这是孩子们所能支付的最昂贵，最美好的货币！,258
感谢阿园支持哔哩哔哩公益，关注到“壹基金温暖包计划”，这个项目将为欠发达和受灾害影响地区的儿童们，送去满足他们应急生活和心理关怀需求的温暖包。https://b23.tv/Gf7Z0Mz 这个冬天，让我们大手拉小手，一起给孩子带去温暖吧[给心心]～,199
“我是一个生意人，不做赔本的买卖；但我又是个失败的生意人，因为没有腰缠万贯。”,147
“从来不让孩子在谁面前唯唯诺诺的，这个我受不了”谁懂这句话的含金量啊太好哭了吧！！,118
没有腰缠万贯，但却赚的盆满钵满。,115
这才是对的，让孩子们得到帮助的同时又不会让他们感到自卑[支持],67
好黑心的商人，这收益好高，真眼红啊[墨镜],41
我的敬意一币两赞，可能不算让你赚，但你得知道我一般不投币的[doge],36
赚大了[星星眼],28
我大一的时候也有幸代表学校去甘肃支教了一个月。虽然说是支教，但是一直不敢以老师自居。只是一个能和他们平等交流，相处的哥哥而已。孩子们加油啊！一定要闯出自己的一片天！等我25年研究生毕业再回来看你们！[打call][打call],24
真的很好，照顾到了孩子的内心，投币了,23
天呐，之前做志愿亲自参与了温暖包的分装工作[大哭][大哭],15
我是一个生意人，看到这句话，我第一个想到的是我愿意孩子的未来投资，那是最有回报的东西，我已经说了，我是一个生意人[doge],15
地理专业毕业5年，一直在幼儿园工作，因为我觉得这些小孩子是最需要树立良好观念和习惯的阶段。但是最初的教育梦想已经渐行渐远了，现在想改变一点，想做一些更有意义的事，如果有靠谱的支教渠道需要人，可以联系我。我也没啥别的能力，我可以去支教。在孩子们的心里，种一颗自信成长的树。,12
他真的，我哭死[大哭],9
让他赚让他赚！,7
啥也不说，上币了啊,6
