comment,like
千亿人血书，底下人发起支持，俺有钱打榜,13688
最后狮姐回头的那一段，是不是也表明了狮兄是她的梦中情狮呢，不然无缘无故的站定脚步回头干嘛,8930
一切不在言中，而在眼内。,5819
真想创造一个所有人都能得到幸福的世界,5183
既然是漫画，那不妨画的大胆一点吧，我不希望连在这里都是充满遗憾的,2780
只能说这个可以给狮哥配一对儿吗？[大哭],2501
秒5既视感,2077
救命[大哭][大哭],1852
狮子最后一个遇到的才是在公交车上看见的那个啊，下一期我就要看见他俩在一块[doge],1228
哥们叫雷锋！,564
好漂亮呀，以后还会有戏份吗[初音未来_大笑],445
狮兄，家里不是小卖部是中型超市的算吗[脱单doge],386
"这一幕，是错过，是借过。
错过是梦中所念，心中所爱
借过是抱歉，虽没联系，但还是借过一下，因为我挡着你的人生了",250
                       至此已成艺术,186
哥，每期视频三连换狮兄幸福不过分吧[笑],123
情头(应该吧阿巴阿巴),90
拿走不谢[墨镜],55
简单一弄，大家自取。,51
野哥，你要是真不想给狮兄配妹子，实在不行把狮兄变女的配给鸡哥也行阿[笑哭],37
长发，白裙，我也有啊[可爱小黄豆_玫瑰],15
我是亲眼看着一首歌是如何被一个视频给带飞的，视频一经发布，这首歌的播放量就一飞冲天了[笑哭],10
等等，不会是上上上上集那个狮姐姐吧,0
