comment,like
白衣的荣耀！羊村的骄傲！！,20327
第一个嘉宾npc诞生了好诶！[难过],10137
那天我瘦了三斤！,7556
"一个被粉丝弄走了
一个刚来就没了
一个好不容易走了又被摇回来了[笑哭]",5749
这期拍的不错，表扬下老板小潮院长哈。（开玩笑的）,5080
身份证是不丢羊村了！！！,4399
考研一定上岸兄弟们[打call],3748
《开局不到十五分钟，咱奶就成功逃离了羊村》[喜极而泣],3665
等等，那如果马哥第四期走了，他是不是可以把高斯叫回来[思考],1944
照这个趋势下去，过年可有的看了[脱单doge],1707
"这一季羊材目前创造的历史：
1.高斯首次离开羊村
2.玩家首次不是依靠赢得游戏离开的羊村
3.玩家首次被迫离开羊村
4.首次一天有两位玩家离开羊村
5.嘉宾首次失败留在羊村
6.嘉宾首次第一天就失去所有的星
7.首次玩家离开之后以嘉宾的身份回来重新游戏(暂且存疑)",1349
我做的雪玫瑰送给小狗[脱单doge],1346
"天哪，一个小时，这是什么,难怪要审核这么久,小潮提姆你是我的神！[星星眼][星星眼][星星眼][打call][打call][打call]",1034
我早就能走了 跟这帮人闹着玩呢 降维打击你们懂吗兄弟们 ！[doge],760
大家辛苦了，祝大家考研全都高分上岸[给心心],525
《一念神魔》,346
这种直接走的留言还是不太用放进箱子里，其实我觉得没啥效果，其实像那种有特定任务的更有节目效果,273
高斯胜利离开，一点没镜头了反而是惩罚，如果有下一季，建议胜利者留在现场，好吃好喝玩手机打电动还能嘲讽，这样比较公平,31
预言家但只预言对了一半[微笑][微笑][微笑],28
我天今天生日一打开就看到这个  好爽好爽😭🤲🏻,10
感谢小潮team在我晚饭时送上的惊喜[doge]国内的各位晚安哦（低语）,9
考研加油，大家都上岸,2
超长待机！,0
