comment,like
白衣的荣耀！羊村的骄傲！！,12347
那天我瘦了三斤！,5629
第一个嘉宾npc诞生了好诶！[难过],5278
这期拍的不错，表扬下老板小潮院长哈。（开玩笑的）,2493
考研一定上岸兄弟们[打call],2379
身份证是不丢羊村了！！！,2286
"一个被粉丝弄走了
一个刚来就没了
一个好不容易走了又被摇回来了[笑哭]",1850
《开局不到十五分钟，咱奶就成功逃离了羊村》[喜极而泣],1619
照这个趋势下去，过年可有的看了[脱单doge],1147
我做的雪玫瑰送给小狗[脱单doge],971
我早就能走了 跟这帮人闹着玩呢 降维打击你们懂吗兄弟们 ！[doge],704
"这一季羊材目前创造的历史：
1.高斯首次离开羊村
2.玩家首次不是依靠赢得游戏离开的羊村
3.玩家首次被迫离开羊村
4.首次一天有两位玩家离开羊村
5.嘉宾首次失败留在羊村
6.嘉宾首次第一天就失去所有的星
7.首次玩家离开之后以嘉宾的身份回来重新游戏(暂且存疑)",592
等等，那如果马哥第四期走了，他是不是可以把高斯叫回来[思考],585
大家辛苦了，祝大家考研全都高分上岸[给心心],518
《一念神魔》,75
马哥，我的国家奖学金到啦，我在超话里有发哦，不知道你看没看到，真的很有幸成为全国的0.2%，拿到了属于我学生时代的最高荣誉。过去想都不敢想象的事，在大学里实现啦,26
高斯胜利离开，一点没镜头了反而是惩罚，如果有下一季，建议胜利者留在现场，好吃好喝玩手机打电动还能嘲讽，这样比较公平,16
预言家但只预言对了一半[微笑][微笑][微笑],6
感谢小潮team在我晚饭时送上的惊喜[doge]国内的各位晚安哦（低语）,4
预言家[脱单doge],3
第1,1
